verb,count,presente yo,presente tú,"presente él, ella, Ud.",presente nosotros,presente vosotros,"presente ellos, ellas, Uds.",presente vos,imperfecto yo,imperfecto tú,"imperfecto él, ella, Ud.",imperfecto nosotros,imperfecto vosotros,"imperfecto ellos, ellas, Uds.",imperfecto vos,pretérito yo,pretérito tú,"pretérito él, ella, Ud.",pretérito nosotros,pretérito vosotros,"pretérito ellos, ellas, Uds.",pretérito vos,futuro yo,futuro tú,"futuro él, ella, Ud.",futuro nosotros,futuro vosotros,"futuro ellos, ellas, Uds.",futuro vos,condicional yo,condicional tú,"condicional él, ella, Ud.",condicional nosotros,condicional vosotros,"condicional ellos, ellas, Uds.",condicional vos,prob
cambiar,5461,cambio,cambias,cambia,cambiamos,cambiáis,cambian,cambiás,cambiaba,cambiabas,cambiaba,cambiábamos,cambiabais,cambiaban,cambiabas,cambié,cambiaste,cambió,cambiamos,cambiasteis,cambiaron,cambiaste,cambiaré,cambiarás,cambiará,cambiaremos,cambiaréis,cambiarán,cambiarás,cambiaría,cambiarías,cambiaría,cambiaríamos,cambiaríais,cambiarían,cambiarías,0.0015712566773373629
elegir,5454,elijo,eliges,elige,elegimos,elegís,eligen,elegís,elegía,elegías,elegía,elegíamos,elegíais,elegían,elegías,elegí,elegiste,eligió,elegimos,elegisteis,eligieron,elegiste,elegiré,elegirás,elegirá,elegiremos,elegiréis,elegirán,elegirás,elegiría,elegirías,elegiría,elegiríamos,elegiríais,elegirían,elegirías,0.0015692426145757147
tocar,5380,toco,tocas,toca,tocamos,tocáis,tocan,tocás,tocaba,tocabas,tocaba,tocábamos,tocabais,tocaban,tocabas,toqué,tocaste,tocó,tocamos,tocasteis,tocaron,tocaste,tocaré,tocarás,tocará,tocaremos,tocaréis,tocarán,tocarás,tocaría,tocarías,tocaría,tocaríamos,tocaríais,tocarían,tocarías,0.0015479510939525752
mirar,5375,miro,miras,mira,miramos,miráis,miran,mirás,miraba,mirabas,miraba,mirábamos,mirabais,miraban,mirabas,miré,miraste,miró,miramos,mirasteis,miraron,miraste,miraré,mirarás,mirará,miraremos,miraréis,mirarán,mirarás,miraría,mirarías,miraría,miraríamos,miraríais,mirarían,mirarías,0.001546512477694255
caber,5348,quepo,cabes,cabe,cabemos,cabéis,caben,cabés,cabía,cabías,cabía,cabíamos,cabíais,cabían,cabías,cupe,cupiste,cupo,cupimos,cupisteis,cupieron,cupiste,cabré,cabrás,cabrá,cabremos,cabréis,cabrán,cabrás,cabría,cabrías,cabría,cabríamos,cabríais,cabrían,cabrías,0.0015387439498993256
deber,5348,debo,debes,debe,debemos,debéis,deben,debés,debía,debías,debía,debíamos,debíais,debían,debías,debí,debiste,debió,debimos,debisteis,debieron,debiste,deberé,deberás,deberá,deberemos,deberéis,deberán,deberás,debería,deberías,debería,deberíamos,deberíais,deberían,deberías,0.0015387439498993256
recibir,5251,recibo,recibes,recibe,recibimos,recibís,reciben,recibís,recibía,recibías,recibía,recibíamos,recibíais,recibían,recibías,recibí,recibiste,recibió,recibimos,recibisteis,recibieron,recibiste,recibiré,recibirás,recibirá,recibiremos,recibiréis,recibirán,recibirás,recibiría,recibirías,recibiría,recibiríamos,recibiríais,recibirían,recibirías,0.0015108347944879131
acostar,5202,acuesto,acuestas,acuesta,acostamos,acostáis,acuestan,acostás,acostaba,acostabas,acostaba,acostábamos,acostabais,acostaban,acostabas,acosté,acostaste,acostó,acostamos,acostasteis,acostaron,acostaste,acostaré,acostarás,acostará,acostaremos,acostaréis,acostarán,acostarás,acostaría,acostarías,acostaría,acostaríamos,acostaríais,acostarían,acostarías,0.0014967363551563746
levantar,5127,levanto,levantas,levanta,levantamos,levantáis,levantan,levantás,levantaba,levantabas,levantaba,levantábamos,levantabais,levantaban,levantabas,levanté,levantaste,levantó,levantamos,levantasteis,levantaron,levantaste,levantaré,levantarás,levantará,levantaremos,levantaréis,levantarán,levantarás,levantaría,levantarías,levantaría,levantaríamos,levantaríais,levantarían,levantarías,0.0014751571112815711
mover,5126,muevo,mueves,mueve,movemos,movéis,mueven,movés,movía,movías,movía,movíamos,movíais,movían,movías,moví,moviste,movió,movimos,movisteis,movieron,moviste,moveré,moverás,moverá,moveremos,moveréis,moverán,moverás,movería,moverías,movería,moveríamos,moveríais,moverían,moverías,0.0014748693880299072
cantar,5081,canto,cantas,canta,cantamos,cantáis,cantan,cantás,cantaba,cantabas,cantaba,cantábamos,cantabais,cantaban,cantabas,canté,cantaste,cantó,cantamos,cantasteis,cantaron,cantaste,cantaré,cantarás,cantará,cantaremos,cantaréis,cantarán,cantarás,cantaría,cantarías,cantaría,cantaríamos,cantaríais,cantarían,cantarías,0.001461921841705025
ayudar,4969,ayudo,ayudas,ayuda,ayudamos,ayudáis,ayudan,ayudás,ayudaba,ayudabas,ayudaba,ayudábamos,ayudabais,ayudaban,ayudabas,ayudé,ayudaste,ayudó,ayudamos,ayudasteis,ayudaron,ayudaste,ayudaré,ayudarás,ayudará,ayudaremos,ayudaréis,ayudarán,ayudarás,ayudaría,ayudarías,ayudaría,ayudaríamos,ayudaríais,ayudarían,ayudarías,0.0014296968375186517
contar,4943,cuento,cuentas,cuenta,contamos,contáis,cuentan,contás,contaba,contabas,contaba,contábamos,contabais,contaban,contabas,conté,contaste,contó,contamos,contasteis,contaron,contaste,contaré,contarás,contará,contaremos,contaréis,contarán,contarás,contaría,contarías,contaría,contaríamos,contaríais,contarían,contarías,0.0014222160329753863
vender,4792,vendo,vendes,vende,vendemos,vendéis,venden,vendés,vendía,vendías,vendía,vendíamos,vendíais,vendían,vendías,vendí,vendiste,vendió,vendimos,vendisteis,vendieron,vendiste,venderé,venderás,venderá,venderemos,venderéis,venderán,venderás,vendería,venderías,vendería,venderíamos,venderíais,venderían,venderías,0.0013787698219741152
hervir,4789,hiervo,hierves,hierve,hervimos,hervís,hierven,hervís,hervía,hervías,hervía,hervíamos,hervíais,hervían,hervías,herví,herviste,hirvió,hervimos,hervisteis,hirvieron,herviste,herviré,hervirás,hervirá,herviremos,herviréis,hervirán,hervirás,herviría,hervirías,herviría,herviríamos,herviríais,hervirían,hervirías,0.001377906652219123
ganar,4774,gano,ganas,gana,ganamos,ganáis,ganan,ganás,ganaba,ganabas,ganaba,ganábamos,ganabais,ganaban,ganabas,gané,ganaste,ganó,ganamos,ganasteis,ganaron,ganaste,ganaré,ganarás,ganará,ganaremos,ganaréis,ganarán,ganarás,ganaría,ganarías,ganaría,ganaríamos,ganaríais,ganarían,ganarías,0.0013735908034441624
viajar,4761,viajo,viajas,viaja,viajamos,viajáis,viajan,viajás,viajaba,viajabas,viajaba,viajábamos,viajabais,viajaban,viajabas,viajé,viajaste,viajó,viajamos,viajasteis,viajaron,viajaste,viajaré,viajarás,viajará,viajaremos,viajaréis,viajarán,viajarás,viajaría,viajarías,viajaría,viajaríamos,viajaríais,viajarían,viajarías,0.0013698504011725298
escuchar,4748,escucho,escuchas,escucha,escuchamos,escucháis,escuchan,escuchás,escuchaba,escuchabas,escuchaba,escuchábamos,escuchabais,escuchaban,escuchabas,escuché,escuchaste,escuchó,escuchamos,escuchasteis,escucharon,escuchaste,escucharé,escucharás,escuchará,escucharemos,escucharéis,escucharán,escucharás,escucharía,escucharías,escucharía,escucharíamos,escucharíais,escucharían,escucharías,0.0013661099989008972
coger,4720,cojo,coges,coge,cogemos,cogéis,cogen,cogés,cogía,cogías,cogía,cogíamos,cogíais,cogían,cogías,cogí,cogiste,cogió,cogimos,cogisteis,cogieron,cogiste,cogeré,cogerás,cogerá,cogeremos,cogeréis,cogerán,cogerás,cogería,cogerías,cogería,cogeríamos,cogeríais,cogerían,cogerías,0.0013580537478543038
necesitar,4701,necesito,necesitas,necesita,necesitamos,necesitáis,necesitan,necesitás,necesitaba,necesitabas,necesitaba,necesitábamos,necesitabais,necesitaban,necesitabas,necesité,necesitaste,necesitó,necesitamos,necesitasteis,necesitaron,necesitaste,necesitaré,necesitarás,necesitará,necesitaremos,necesitaréis,necesitarán,necesitarás,necesitaría,necesitarías,necesitaría,necesitaríamos,necesitaríais,necesitarían,necesitarías,0.001352587006072687
despertar,4690,despierto,despiertas,despierta,despertamos,despertáis,despiertan,despertás,despertaba,despertabas,despertaba,despertábamos,despertabais,despertaban,despertabas,desperté,despertaste,despertó,despertamos,despertasteis,despertaron,despertaste,despertaré,despertarás,despertará,despertaremos,despertaréis,despertarán,despertarás,despertaría,despertarías,despertaría,despertaríamos,despertaríais,despertarían,despertarías,0.0013494220503043825
recordar,4662,recuerdo,recuerdas,recuerda,recordamos,recordáis,recuerdan,recordás,recordaba,recordabas,recordaba,recordábamos,recordabais,recordaban,recordabas,recordé,recordaste,recordó,recordamos,recordasteis,recordaron,recordaste,recordaré,recordarás,recordará,recordaremos,recordaréis,recordarán,recordarás,recordaría,recordarías,recordaría,recordaríamos,recordaríais,recordarían,recordarías,0.001341365799257789
desear,4638,deseo,deseas,desea,deseamos,deseáis,desean,deseás,deseaba,deseabas,deseaba,deseábamos,deseabais,deseaban,deseabas,deseé,deseaste,deseó,deseamos,deseasteis,desearon,deseaste,desearé,desearás,deseará,desearemos,desearéis,desearán,desearás,desearía,desearías,desearía,desearíamos,desearíais,desearían,desearías,0.001334460441217852
huir,4616,huyo,huyes,huye,huimos,huis,huyen,huis,huía,huías,huía,huíamos,huíais,huían,huías,hui,huiste,huyó,huimos,huisteis,huyeron,huiste,huiré,huirás,huirá,huiremos,huiréis,huirán,huirás,huiría,huirías,huiría,huiríamos,huiríais,huirían,huirías,0.001328130529681243
decidir,4587,decido,decides,decide,decidimos,decidís,deciden,decidís,decidía,decidías,decidía,decidíamos,decidíais,decidían,decidías,decidí,decidiste,decidió,decidimos,decidisteis,decidieron,decidiste,decidiré,decidirás,decidirá,decidiremos,decidiréis,decidirán,decidirás,decidiría,decidirías,decidiría,decidiríamos,decidiríais,decidirían,decidirías,0.0013197865553829856
lavar,4476,lavo,lavas,lava,lavamos,laváis,lavan,lavás,lavaba,lavabas,lavaba,lavábamos,lavabais,lavaban,lavabas,lavé,lavaste,lavó,lavamos,lavasteis,lavaron,lavaste,lavaré,lavarás,lavará,lavaremos,lavaréis,lavarán,lavarás,lavaría,lavarías,lavaría,lavaríamos,lavaríais,lavarían,lavarías,0.0012878492744482764
subir,4475,subo,subes,sube,subimos,subís,suben,subís,subía,subías,subía,subíamos,subíais,subían,subías,subí,subiste,subió,subimos,subisteis,subieron,subiste,subiré,subirás,subirá,subiremos,subiréis,subirán,subirás,subiría,subirías,subiría,subiríamos,subiríais,subirían,subirías,0.0012875615511966122
parecer,4469,parezco,pareces,parece,parecemos,parecéis,parecen,parecés,parecía,parecías,parecía,parecíamos,parecíais,parecían,parecías,parecí,pareciste,pareció,parecimos,parecisteis,parecieron,pareciste,pareceré,parecerás,parecerá,pareceremos,pareceréis,parecerán,parecerás,parecería,parecerías,parecería,pareceríamos,pareceríais,parecerían,parecerías,0.001285835211686628
practicar,4467,practico,practicas,practica,practicamos,practicáis,practican,practicás,practicaba,practicabas,practicaba,practicábamos,practicabais,practicaban,practicabas,practiqué,practicaste,practicó,practicamos,practicasteis,practicaron,practicaste,practicaré,practicarás,practicará,practicaremos,practicaréis,practicarán,practicarás,practicaría,practicarías,practicaría,practicaríamos,practicaríais,practicarían,practicarías,0.0012852597651833
nadar,4453,nado,nadas,nada,nadamos,nadáis,nadan,nadás,nadaba,nadabas,nadaba,nadábamos,nadabais,nadaban,nadabas,nadé,nadaste,nadó,nadamos,nadasteis,nadaron,nadaste,nadaré,nadarás,nadará,nadaremos,nadaréis,nadarán,nadarás,nadaría,nadarías,nadaría,nadaríamos,nadaríais,nadarían,nadarías,0.0012812316396600032
despedir,4408,despido,despides,despide,despedimos,despedís,despiden,despedís,despedía,despedías,despedía,despedíamos,despedíais,despedían,despedías,despedí,despediste,despidió,despedimos,despedisteis,despidieron,despediste,despediré,despedirás,despedirá,despediremos,despediréis,despedirán,despedirás,despediría,despedirías,despediría,despediríamos,despediríais,despedirían,despedirías,0.001268284093335121
traducir,4402,traduzco,traduces,traduce,traducimos,traducís,traducen,traducís,traducía,traducías,traducía,traducíamos,traducíais,traducían,traducías,traduje,tradujiste,tradujo,tradujimos,tradujisteis,tradujeron,tradujiste,traduciré,traducirás,traducirá,traduciremos,traduciréis,traducirán,traducirás,traduciría,traducirías,traduciría,traduciríamos,traduciríais,traducirían,traducirías,0.0012665577538251368
sonreir,4372,sonrío,sonríes,sonríe,sonreímos,sonreís,sonríen,sonreís,sonreía,sonreías,sonreía,sonreíamos,sonreíais,sonreían,sonreías,sonreí,sonreíste,sonrió,sonreímos,sonreísteis,sonrieron,sonreíste,sonreiré,sonreirás,sonreirá,sonreiremos,sonreiréis,sonreirán,sonreirás,sonreiría,sonreirías,sonreiría,sonreiríamos,sonreiríais,sonreirían,sonreirías,0.0012579260562752153
mentir,4354,miento,mientes,miente,mentimos,mentís,mienten,mentís,mentía,mentías,mentía,mentíamos,mentíais,mentían,mentías,mentí,mentiste,mintió,mentimos,mentisteis,mintieron,mentiste,mentiré,mentirás,mentirá,mentiremos,mentiréis,mentirán,mentirás,mentiría,mentirías,mentiría,mentiríamos,mentiríais,mentirían,mentirías,0.0012527470377452624
herir,4347,hiero,hieres,hiere,herimos,herís,hieren,herís,hería,herías,hería,heríamos,heríais,herían,herías,herí,heriste,hirió,herimos,heristeis,hirieron,heriste,heriré,herirás,herirá,heriremos,heriréis,herirán,herirás,heriría,herirías,heriría,heriríamos,heriríais,herirían,herirías,0.001250732974983614
usar,4341,uso,usas,usa,usamos,usáis,usan,usás,usaba,usabas,usaba,usábamos,usabais,usaban,usabas,usé,usaste,usó,usamos,usasteis,usaron,usaste,usaré,usarás,usará,usaremos,usaréis,usarán,usarás,usaría,usarías,usaría,usaríamos,usaríais,usarían,usarías,0.0012490066354736299
casar,4296,caso,casas,casa,casamos,casáis,casan,casás,casaba,casabas,casaba,casábamos,casabais,casaban,casabas,casé,casaste,casó,casamos,casasteis,casaron,casaste,casaré,casarás,casará,casaremos,casaréis,casarán,casarás,casaría,casarías,casaría,casaríamos,casaríais,casarían,casarías,0.0012360590891487477
sugerir,4245,sugiero,sugieres,sugiere,sugerimos,sugerís,sugieren,sugerís,sugería,sugerías,sugería,sugeríamos,sugeríais,sugerían,sugerías,sugerí,sugeriste,sugirió,sugerimos,sugeristeis,sugirieron,sugeriste,sugeriré,sugerirás,sugerirá,sugeriremos,sugeriréis,sugerirán,sugerirás,sugeriría,sugerirías,sugeriría,sugeriríamos,sugeriríais,sugerirían,sugerirías,0.0012213852033138813
desayunar,4218,desayuno,desayunas,desayuna,desayunamos,desayunáis,desayunan,desayunás,desayunaba,desayunabas,desayunaba,desayunábamos,desayunabais,desayunaban,desayunabas,desayuné,desayunaste,desayunó,desayunamos,desayunasteis,desayunaron,desayunaste,desayunaré,desayunarás,desayunará,desayunaremos,desayunaréis,desayunarán,desayunarás,desayunaría,desayunarías,desayunaría,desayunaríamos,desayunaríais,desayunarían,desayunarías,0.001213616675518952
ofrecer,4215,ofrezco,ofreces,ofrece,ofrecemos,ofrecéis,ofrecen,ofrecés,ofrecía,ofrecías,ofrecía,ofrecíamos,ofrecíais,ofrecían,ofrecías,ofrecí,ofreciste,ofreció,ofrecimos,ofrecisteis,ofrecieron,ofreciste,ofreceré,ofrecerás,ofrecerá,ofreceremos,ofreceréis,ofrecerán,ofrecerás,ofrecería,ofrecerías,ofrecería,ofreceríamos,ofreceríais,ofrecerían,ofrecerías,0.0012127535057639598
romper,4199,rompo,rompes,rompe,rompemos,rompéis,rompen,rompés,rompía,rompías,rompía,rompíamos,rompíais,rompían,rompías,rompí,rompiste,rompió,rompimos,rompisteis,rompieron,rompiste,romperé,romperás,romperá,romperemos,romperéis,romperán,romperás,rompería,romperías,rompería,romperíamos,romperíais,romperían,romperías,0.0012081499337373352
hackear,4119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011851320736042112
devolver,4085,devuelvo,devuelves,devuelve,devolvemos,devolvéis,devuelven,devolvés,devolvía,devolvías,devolvía,devolvíamos,devolvíais,devolvían,devolvías,devolví,devolviste,devolvió,devolvimos,devolvisteis,devolvieron,devolviste,devolveré,devolverás,devolverá,devolveremos,devolveréis,devolverán,devolverás,devolvería,devolverías,devolvería,devolveríamos,devolveríais,devolverían,devolverías,0.0011753494830476338
cubrir,4017,cubro,cubres,cubre,cubrimos,cubrís,cubren,cubrís,cubría,cubrías,cubría,cubríamos,cubríais,cubrían,cubrías,cubrí,cubriste,cubrió,cubrimos,cubristeis,cubrieron,cubriste,cubriré,cubrirás,cubrirá,cubriremos,cubriréis,cubrirán,cubrirás,cubriría,cubrirías,cubriría,cubriríamos,cubriríais,cubrirían,cubrirías,0.0011557843019344785
oler,4009,huelo,hueles,huele,olemos,oléis,huelen,olés,olía,olías,olía,olíamos,olíais,olían,olías,olí,oliste,olió,olimos,olisteis,olieron,oliste,oleré,olerás,olerá,oleremos,oleréis,olerán,olerás,olería,olerías,olería,oleríamos,oleríais,olerían,olerías,0.0011534825159211662
mantener,4006,mantengo,mantienes,mantiene,mantenemos,mantenéis,mantienen,mantenés,mantenía,mantenías,mantenía,manteníamos,manteníais,mantenían,mantenías,mantuve,mantuviste,mantuvo,mantuvimos,mantuvisteis,mantuvieron,mantuviste,mantendré,mantendrás,mantendrá,mantendremos,mantendréis,mantendrán,mantendrás,mantendría,mantendrías,mantendría,mantendríamos,mantendríais,mantendrían,mantendrías,0.001152619346166174
mandar,4001,mando,mandas,manda,mandamos,mandáis,mandan,mandás,mandaba,mandabas,mandaba,mandábamos,mandabais,mandaban,mandabas,mandé,mandaste,mandó,mandamos,mandasteis,mandaron,mandaste,mandaré,mandarás,mandará,mandaremos,mandaréis,mandarán,mandarás,mandaría,mandarías,mandaría,mandaríamos,mandaríais,mandarían,mandarías,0.0011511807299078537
construir,3973,construyo,construyes,construye,construimos,construís,construyen,construís,construía,construías,construía,construíamos,construíais,construían,construías,construí,construiste,construyó,construimos,construisteis,construyeron,construiste,construiré,construirás,construirá,construiremos,construiréis,construirán,construirás,construiría,construirías,construiría,construiríamos,construiríais,construirían,construirías,0.0011431244788612605
